Wed Jan 03 13:00:06 +0000 2018	948539464711884803	11h - Não há ocorrências em andamento e o trânsito flui bem no cruzamento da Av. Assis Brasil e Av. do Forte, sentido bairro-centro.
Wed Jan 03 12:00:27 +0000 2018	948524456619757570	10h - Não há ocorrências em andamento e o trânsito flui bem nos dois sentidos da Av. Bento Gonçalves nas proximidad… https://t.co/sevlSXNEF0
Wed Jan 03 11:41:23 +0000 2018	948519655433523201	09h41 - Fluxo intenso nos cruzamento da Av. Ipiranga com as avenidas João Pessoa (bairro-centro) e Azenha (centro-bairro).
Wed Jan 03 11:21:50 +0000 2018	948514737641414656	09h21 - Trânsito fluindo bem nos dois sentidos da BR-116 nas proximidades do Aeroporto Salgado Filho.
Wed Jan 03 11:02:33 +0000 2018	948509883359551488	09h02 - Via liberada. Fluxo é intenso no cruzamento da Av. Protásio Alves com a R. Ten. Ary Tarrgô, sentido bairro-centro.
Wed Jan 03 11:00:53 +0000 2018	948509464726040579	09h - Fluxo intenso no cruzamento das avenidas Borges de Medeiros e Sen. Salgado Filho.
Wed Jan 03 10:37:01 +0000 2018	948503458407215104	RT @triunfoconcepa: ATENÇÃO: Previsão de Içamento do Vão Móvel da Ponte do Guaíba para 13h40min e também 14h45min.
Wed Jan 03 10:23:21 +0000 2018	948500019044286464	08h23 - Ônibus em pane mecânica na Av. Protásio Alves próximo a R. Ten. Ary Tarragô, sentido bairro-centro. Faixa d… https://t.co/svv1isZ4XT
Wed Jan 03 10:13:18 +0000 2018	948497491560947712	Vestibular da Ufrgs terá reforço nas linhas de ônibus: https://t.co/pAjjv6Bt3q
Wed Jan 03 09:52:05 +0000 2018	948492151440232449	07h52 - Fluxo intenso entre as avenidas Nonoai e Cavalhada, sentido centro-bairro.
Wed Jan 03 09:37:47 +0000 2018	948488553306185729	07h37 - Movimentação é tranquila nos dois sentidos do Túnel da Conceição nas proximidades da Rodoviária.
Wed Jan 03 09:23:47 +0000 2018	948485027695923201	07h23 - Trânsito fluindo bem nos dois sentidos da Av. Ipiranga em frente ao Campus da PUC.
