Thu Dec 14 19:21:25 +0000 2017	941387670328143873	17h21 - Direto das câmeras da EPTC: trânsito se intensifica na saída de Porto Alegre pela Av. da Legalidade e da De… https://t.co/Hwsm3LEy43
Thu Dec 14 19:09:07 +0000 2017	941384574336151552	RT @Trensurb: #TrensurbInforma Trens e aeromóvel seguem operando normalmente nesta tarde de quinta-feira.
Thu Dec 14 18:58:36 +0000 2017	941381927516372993	16h58 - Via liberada. O serviço de manutenção semafórica foi concluído e o trânsito é acentuado no cruzamento da Av… https://t.co/SQMbTFbpE6
Thu Dec 14 18:51:50 +0000 2017	941380224276750336	RT @Prefeitura_POA: Em razão do Concurso da @brigadamilitar_ marcado para a manhã deste domingo, 17, a @EPTC_POA informa que haverá reforço…
Thu Dec 14 18:51:30 +0000 2017	941380140327718913	16h51 - Trânsito acentuado no cruzamento das avenidas Erico Verissimo e Ipiranga, sentido centro-bairro.
Thu Dec 14 18:29:54 +0000 2017	941374706430697472	16h29 - Serviço de manutenção semafórica em andamento na Av. Independência próximo a R. Garibaldi, sentido bairro-c… https://t.co/mxJnVk5PSn
Thu Dec 14 18:28:42 +0000 2017	941374402687586306	16h28 - Via liberada. Trânsito se intensifica na saída de Porto Alegre pela Av. da Legalidade e da Democracia, sentido Capital-interior.
Thu Dec 14 18:11:00 +0000 2017	941369948445782016	16h10 - Trânsito lento no cruzamento da R. Siqueira Campos com a R. Gen. Câmara, sentido bairro-centro.
Thu Dec 14 17:51:51 +0000 2017	941365131723923458	15h51 - Atropelamento por carro na Av. Princesa Isabel esq. Av. João Pessoa, sentido bairro-centro. SAMU a caminho.… https://t.co/PqrOqkOJnJ
Thu Dec 14 17:41:13 +0000 2017	941362454143041536	15h41 - Manutenção semafórica na Av. Independência próximo a R. Garibaldi, sentido bairro-centro. Faixa exclusiva b… https://t.co/t3HJX15E77
Thu Dec 14 17:35:14 +0000 2017	941360950539702272	@Augusto_JBS Boa tarde, Augusto! Obrigada pelo relato, será verificado mas é necessário o registro no fone 118.
Thu Dec 14 17:30:26 +0000 2017	941359740696907777	Linhas de ônibus ligarão a Lomba do Pinheiro e a Restinga ao Lami: trechos entram em operação para facilitar a cheg… https://t.co/SerRKtvpN2
Thu Dec 14 17:11:02 +0000 2017	941354857189003264	15h10 - Fluxo intenso na Av. Assis Brasil, no trecho entre a Av. do Forte e o Viaduto Obrici.
Thu Dec 14 16:54:06 +0000 2017	941350598322081792	@CarlosMichael07 Boa tarde, Carlos! Será verificado mas também é necessário o registro no fone 118.
Thu Dec 14 16:45:14 +0000 2017	941348366272876544	Trânsito e transporte para a Fan Fest na Arena: serão disponibilizados 12 ônibus Especial Futebol com saída do Larg… https://t.co/3doXB3Wn1l
